codigo,titulo,fecha_estreno,origen_pelicula,entradas,recaudacion
20264012,NUESTRA TIERRA,2026-03-02,Nacionales,45065,255813251.60
21254037,PENSAMIENTO LATERAL,2026-03-26,Nacionales,4107,23797588.04
21264007,LA VIRGEN DE LA TOSQUERA,2026-01-15,Nacionales,90425,609996310.30
21264024,EL SUSURRO,2026-01-22,Nacionales,11339,76691226.82
21264030,COLORES PERDIDOS,2026-07-07,Nacionales,15,37800.00
25254053,ENTRE MATES Y CONJUROS,2026-02-26,Nacionales,457,1495852.77
25254099,LA LENGUA,2026-01-02,Nacionales,177,515581.56
25254112,NORBERTO,2026-01-01,Nacionales,702,2835882.39
25264032,EL TEMA DEL VERANO,2026-02-05,Nacionales,1518,7349709.68
25264033,UN FUTURO BRILLANTE,2026-02-19,Nacionales,960,3890818.11
25264035,FRAGMENTOS,2026-03-20,Nacionales,110,301349.08
25264036,CRONICAS DE UN EXILIO,2026-05-21,Nacionales,516,2102959.98
25264037,NO PREGUNTES,2026-03-12,Nacionales,1096,6263717.75
25264038,ALGO HA CAMBIADO: UN VIAJE QUIJOTESCO AL PAPPO´S BLUES,2026-03-12,Nacionales,1425,9196206.62
25264039,HIJO MAYOR,2026-04-02,Nacionales,5875,28734973.05
25264040,SOLO FANATICOS,2026-03-12,Nacionales,1329,7305014.54
25264041,LA MUJER DEL RÍO,2026-04-09,Nacionales,1112,4362477.11
25264043,LA CASACA DE DIOS,2026-04-09,Nacionales,4008,22932513.11
25264044,RISA Y LA CABINA DEL VIENTO,2026-04-16,Nacionales,28184,185545751.41
25264046,UNA CANCIÓN PARA MI TIERRA,2026-04-30,Nacionales,9730,43072175.77
25264047,"MUJERES, AL FINAL DE ESTE VIAJE",2026-04-23,Nacionales,326,704927.49
25264048,LA FRECUENCIA KIRLIAN,2026-04-30,Nacionales,2817,17950710.82
25264049,EMI,2026-05-07,Nacionales,917,4373929.26
25264050,CUATRO ESTRELLAS,2026-05-07,Nacionales,954,3309418.44
25264051,PLATA O MIERDA,2026-05-02,Nacionales,897,3252872.76
25264052,EL ÚLTIMO VIAJE A CHINA,2026-05-07,Nacionales,1845,8325785.18
25264053,LIPÁN,2026-05-07,Nacionales,833,3278581.90
25264054,TIERRA QUE HABLA,2026-05-14,Nacionales,191,1435000.00
25264055,NADA ENTRE LOS DOS,2026-05-21,Nacionales,16279,111767627.98
25264056,BRUCHER. CRONICA BOTANICA INAUDITA,2026-07-02,Nacionales,157,850645.42
25264057,LAS MANTIS,2026-05-28,Nacionales,286,1031000.08
25264058,EL PARTIDO,2026-05-21,Nacionales,32805,271053063.18
25264061,VIDAS IMAGINARIAS,2026-05-29,Nacionales,362,1450974.38
25264062,TRISTÁN Y LOS DÍAS POR VENIR,2026-06-18,Nacionales,680,3360472.76
25264064,"NEGRO CHE, NEGRO USTED. QUINCE AÑOS DESPUÉS",2026-06-25,Nacionales,346,1547445.48
25264066,"MUJERES EN LA PUNA, CRÓNICA DE HUANCAR",2026-07-03,Nacionales,160,1350000.00
32260017,HISTORIAS BREVES 24,2026-05-28,"Festivales, Muestras y Otros",291,1100800.16
32260042,HISTORIA QUE VISTE,2026-06-03,"Festivales, Muestras y Otros",27,189000.00
51220075,ALGUNAS NOTAS SOBRE MMM,2026-06-19,Nacionales,132,696972.74
51240004,"LEGERIN, EN BUSCA DE ALINA",2026-03-05,Nacionales,475,1599936.35
51250003,EL CONDOR Y LA NIEBLA,2026-03-19,Nacionales,201,619227.29
51250029,LAS LATAS,2026-05-28,Nacionales,1295,6885800.00
51250033,EL ATARDECER DE LOS GRILLOS,2026-04-23,Nacionales,65,205945.46
51250036,LOS LAGOS,2026-07-05,Nacionales,43,261409.08
51250037,YO SOY MIKA DE FRANKFURT!,2026-03-19,Nacionales,371,2251190.92
51250048,LAS VIDAS DE UN VESTIDO,2026-04-27,Nacionales,126,515418.18
51260001,"MANUELITA, ¿DÓNDE ESTÁS?",2026-03-11,Nacionales,133,639645.45
51260002,LOS NIÑOS,2026-01-29,Nacionales,91,769000.00
51260003,DREAMFLOW,2026-04-23,Nacionales,63,244109.09
51260004,LOS CAMINOS DEL CHE,2026-04-24,Nacionales,134,429454.54
51260006,UNA TEMPORADA EN LA FRONTERA,2026-03-19,Nacionales,271,757600.00
51260009,KHORUS. LOS QUE EMPRENDIERON NUEVOS CAMINOS,2026-06-12,Nacionales,87,226000.00
51260010,LOS SUEÑOS DE ELMA,2026-04-02,Nacionales,143,422890.90
51260013,AMANTES EN EL CIELO,2026-04-26,Nacionales,124,569345.45
51260014,ROCAMBOLE EN EL CAMINO,2026-04-25,Nacionales,1982,8804840.08
51260015,LA PINTURA DEL FUTURO,2026-05-31,Nacionales,160,839272.74
51260016,AMOR TRAVESTI,2026-05-11,Nacionales,605,1775280.00
51260017,MATRIA,2026-05-29,Nacionales,89,314472.74
51260018,CINE PERIFÉRICO,2026-07-07,Nacionales,36,174272.72
51260019,LA YEGUA DE TROYA,2026-06-19,Nacionales,174,1157400.00
51260020,RECUPERAR UN FUTURO,2026-07-08,Nacionales,105,787500.00
51260021,LOS CRUCES,2026-05-29,Nacionales,153,1350000.00
51260022,CARANDAY,2026-06-23,Nacionales,52,274690.92
61194018,UNA CHICA INVISIBLE,2026-06-25,Nacionales,288,1212136.38
61250027,LA DANZA DEL IMPACTO,2026-05-07,Nacionales,61,279272.74
61250031,LOS OJOS DE HELEN,2026-06-21,Nacionales,30,102109.10
61250032,BARCOS Y CATEDRALES,2026-02-19,Nacionales,243,748872.68
61250044,LAS APARIENCIAS,2026-01-15,Nacionales,62,177672.72
61250073,LA ULTIMA ENSEÑANZA,2026-02-12,Nacionales,269,693517.94
61250079,UNA Y MIL VECES,2026-04-23,Nacionales,181,693927.27
61250080,NUESTRA COSA PERDIDA,2026-02-26,Nacionales,557,2836418.17
61250086,MUJERES DE LA TIERRA,2026-03-08,Nacionales,79,256181.81
61250091,TENEMOS QUE HABLAR,2026-02-05,Nacionales,2295,8051520.48
61250098,SAINT CATHERINE,2026-01-08,Nacionales,1203,6333690.62
61250100,TENIENTE LINYERA,2026-04-02,Nacionales,770,2373327.20
61250104,ABRAZANDO LA PATAGONIA,2026-03-05,Nacionales,225,919352.48
61260001,VOLVER A LOS 17,2026-01-08,Nacionales,1307,6219834.10
61260003,VIOLETA RAUCH,2026-02-26,Nacionales,249,748313.15
61260004,VIAJE.INESTIMABLE.VOYAGE,2026-02-12,Nacionales,498,4580900.02
61260005,PARQUE LEZAMA,2026-02-19,Nacionales,16841,76271413.49
61260007,BARDOGENTO,2026-04-09,Nacionales,378,1087099.48
61260008,THE BEWILDERMENT OF CHILE,2026-02-26,Nacionales,361,1849692.70
61260010,300 CARTAS,2026-02-26,Nacionales,1774,6893591.44
61260011,PLAYA DE LOBOS,2026-02-19,Nacionales,67217,508285365.31
61260013,NENE REVANCHA,2026-03-12,Nacionales,550,1866718.10
61260014,LA NOCHE ESTÁ MARCHÁNDOSE YA,2026-03-05,Nacionales,3310,18920072.73
61260016,EN EL CINE,2026-03-05,Nacionales,324,1148781.90
61260017,ARGENTINA SANGRA POR LAS BARRANCAS DEL RÍO PARANÁ,2026-03-26,Nacionales,1194,5183378.20
61260018,LOS DÍAS CHINOS,2026-03-06,Nacionales,1782,8600654.52
61260019,ENCUENTRO COLEMAN,2026-06-05,Nacionales,124,1038000.00
61260020,JASMÍN,2026-02-26,Nacionales,630,2248545.25
61260021,OLIVIA,2026-03-12,Nacionales,1023,4372000.00
61260022,EL RITUAL DE LILY,2026-03-12,Nacionales,2476,18860709.05
61260024,MARCADO,2026-03-19,Nacionales,610,2496872.65
61260025,CONADEPIANOS,2026-03-19,Nacionales,413,1375774.09
61260026,SOY TU MENSAJE,2026-03-19,Nacionales,751,2248342.58
61260027,EL ÚLTIMO GIGANTE,2026-03-26,Nacionales,986,2965199.79
61260029,LA LUNA DE COCO,2026-03-28,Nacionales,1754,9636535.72
61260030,MALVINAS: LEGADO DE SANGRE,2026-04-02,Nacionales,563,2663490.60
61260031,DE TROYA A MALVINAS,2026-04-02,Nacionales,318,1396587.29
61260033,UNA DIRECTORA EXTRAORDINARIA,2026-06-18,Nacionales,3255,16968448.92
61260034,LAS ESCALERAS DE LULI,2026-06-04,Nacionales,766,4060500.00
61260035,CRISTINA,2026-04-09,Nacionales,207,1625000.00
61260036,PLESIOSAURIOS VIVOS,2026-05-29,Nacionales,11,100000.00
61260037,INSTANTE,2026-04-23,Nacionales,475,1763509.04
